,station_name,num_bikes_available,mechanical_available,electrical_available,num_docks_available
320,PLACE JOANNÈS AMBRE,19,7,12,1
321,PLACE ADRIEN GODIEN,6,3,3,24
322,LA SALETTE,7,6,1,8
323,PHILIPPE DE LASSALLE / PILLEMENT,3,1,2,10
324,PLACE CRÉPU,7,4,3,13
325,PLACE DES TAPIS,9,4,5,8
326,L'HOMME DE LA ROCHE,5,0,5,15
327,CHAMPVERT,2,0,2,12
328,TABAREAU,7,1,6,1
329,VALDO / RIVET,2,0,2,16
330,PLACE DE LA CROIX-ROUSSE,13,13,0,7
331,PONT MASARYK,8,4,4,14
332,ALBÉRIC PONT,7,5,2,9
333,LYON METROPOLE,22,11,11,3
334,TEST CGB,1,1,0,0
335,CHAZIÈRE,13,10,3,7
336,BIRMINGHAM,6,6,0,14
337,PART-DIEU / DERUELLE,9,3,6,21
338,BOURSE DU TRAVAIL,26,26,0,0
339,SAXE / GAMBETTA,18,9,9,8
340,SAINT-JUST,7,4,3,11
341,VILLETTE / SAINT-ANTOINE,19,12,7,2
342,CHAMPVERT,0,0,0,18
343,PLACE D'ARSONVAL,9,2,7,21
344,BUYER / APOLLINAIRE,20,18,2,2
345,INSTITUT LUMIERE,8,3,5,9
346,MUSEE AFRICAIN,7,5,2,14
347,PART-DIEU / CUIRASSIERS (FAR),28,18,10,4
348,PART-DIEU / CUIRASSIERS,58,58,0,0
349,PLACE DU CHÂTEAU,8,5,3,16
350,PLACE ANTOINETTE,6,4,2,15
351,PART-DIEU/POMPIDOU,27,12,15,12
352,SERVIENT / GARIBALDI,1,0,1,30
353,LIBERTÉ / PART-DIEU,2,1,1,16
354,SAXE / DUNOIR,27,14,13,10
355,BOUSSANGES / AUSTERLITZ,5,2,3,13
356,CRÉQUI / VOLTAIRE,5,2,3,25
357,GREGORY COUPET,10,8,2,6
358,PART-DIEU / DERUELLE,29,12,17,9
359,PLACE DE LA FERRANDIÈRE,3,3,0,16
360,ROCKEFELLER / ESQUIROL,2,1,1,16
361,BELLECOUR / RÉPUBLIQUE,16,10,6,0
362,BELLECOUR / ST EXUPÉRY,16,2,14,24
363,PLACE AMPÈRE,10,6,4,0
364,PERRACHE / CARNOT,15,8,7,1
365,CONFLUENCE HÔTEL DE RÉGION,22,9,13,9
366,PLACE ARISTIDE BRIAND,15,14,1,22
367,PLACE DE L'HIPPODROME,8,7,1,14
368,PATINOIRE CHARLEMAGNE,22,7,15,14
369,CORNEILLE / SERVIENT,12,5,7,0
370,PLACE ANTONIN PONCET,19,8,11,21
371,CONFLUENCE / DOCKS,4,4,0,22
372,OL STADIUM ÉPHÉMÈRE,0,0,0,3
373,CONFLUENCE / DARSE,5,5,0,17
374,GARIBALDI / PENSIONNAT,13,10,3,17
375,SALA / RUE DU PLAT,13,5,8,0
376,PHILOMENE MAGNIN,16,6,10,8
377,GAILLETON,16,10,6,0
378,FELIX FAURE / VIVIER MERLE,0,0,0,0
379,CÉLESTINS,7,6,1,14
380,PAUL BERT / GARIBALDI,5,4,1,16
381,JACOBINS,7,5,2,17
382,VIVIER MERLE / PAUL BERT EST,11,4,7,7
383,RÉPUBLIQUE / STELLA,9,7,2,18
384,PLACE BIR-HAKEIM,10,6,4,9
385,PLACE REGAUD,9,6,3,3
386,FAURE / DANTON,0,0,0,0
387,RÉPUBLIQUE / FERRANDIÈRE,3,1,2,22
388,HOTEL DIEU / PONT DE LA GUILLOTIERE,12,6,6,36
389,SUCRIERE,10,7,3,10
390,PLACE ROUGET DE L'ISLE,7,7,0,6
391,MUSÉE DES CONFLUENCES,12,12,0,8
392,QUAI AUGAGNEUR,2,1,1,16
393,RAMBAUD / ECOLE DU CINÉMA,7,0,7,23
394,PLACE CARNOT,15,14,1,14
395,PERRACHE / PETIT,6,3,3,12
396,HERRIOT / MAUPIN,14,12,2,10
397,TERREAUX / TERME,9,7,2,7
398,MERCIÈRE / FERRANDIÈRE,3,1,2,7
399,OPÉRA,2,0,2,39
400,RÉPUBLIQUE / PAUFIQUE,7,5,2,21
401,FRICHE RVI,13,2,11,7
402,PLACE SATHONAY,0,0,0,21
403,PERRACHE EST,15,4,11,4
404,PLACE HENRI,5,3,2,8
405,SAINTE-BLANDINE,6,0,6,8
406,MEISSONNIER,7,4,3,8
407,GAMBETTA / JUSSERAND,5,4,1,8
408,SUBSISTANCES,6,2,4,15
409,RÉPUBLIQUE / POULAILLERIE,8,3,5,24
410,PLACE DU LAC,5,3,2,14
411,CHILDEBERT / RIVIÈRE,11,7,4,10
412,AMPÈRE / BOURSE,7,2,5,16
413,PLACE ANTONIN GOURJU,12,10,2,17
414,MARTINIÈRE,3,2,1,6
415,PLACE DES ARCHIVES,16,10,6,24
416,REMPARTS D'AINAY,23,11,12,1
417,CHARITÉ / RÉCAMIER,0,0,0,0
418,PÊCHERIE,2,2,0,14
419,ST ANTOINE / GRENETTE,3,0,3,20
420,SALA / CHARITÉ,19,13,6,1
421,JOFFRE / VAUBECOUR,9,0,9,11
422,KIMMERLING / FAURE,3,3,0,16
423,HACHETTE,11,10,1,3
424,TERREAUX / CHENAVARD,2,2,0,16
425,FAURE / MEYNIS,0,0,0,0
426,TERREAUX / BEAUX ARTS,9,5,4,2
427,DAUPHINÉ / SAINT-MAXIMIN,20,16,4,8
428,PLACE TOLOZAN,3,0,3,33
429,REBATEL / SAINT-MAXIMIN,3,2,1,26
430,CROIX ROUSSE / PERFETTI,8,0,8,12
431,BIOPARC,5,0,5,14
